en,fr
i'm finicky.,je suis méticuleuse.
i'm going.,je pars.
keep driving.,roule !
they voted.,elles ont voté.
i messed up.,j'ai mis le souk.
i feel well.,je me sens bien.
he drank beer.,il a bu de la bière.
i'm immune.,je suis immunisé.
we're hiding.,nous nous cachons.
be merciful.,soyez miséricordieux !
tom's alive.,tom est en vie.
come quick!,jouis vite !
get down.,descends !
i can read.,je peux lire.
i'm a coward.,je suis un couard.
taste this.,goûte ça.
don't wait.,n'attends pas !
i've got you.,je t'ai eu.
"meat, please.","de la viande, s'il vous plaît."
get a job.,trouvez un emploi !
i am here.,je suis ici.
i'm working.,je suis en train de travailler.
that's hers.,c'est le sien.
i like sushi.,j'aime les sushis.
look at this.,regardez ça !
i said no.,j'ai dit non.
we're normal.,nous sommes normales.
was i wrong?,ai-je eu tort ?
we're doomed.,nous sommes condamnés.
i use it.,je l'utilise.
tom changed.,tom a changé.
i don't mind.,ça m'est égal.
are you new?,tu es nouveau ?
i trust him.,j'ai confiance en lui.
you scare me.,tu me fais peur.
keep out!,défense d'entrer.
they know us.,elles nous connaissent.
she is kind.,elle est gentille.
don't do that.,ne faites pas ça.
i am good.,je suis bon.
who was that?,c'était qui ?
let me go!,laissez-moi y aller !
come off it!,arrête ça !
she sued him.,elle lui a fait un procès.
do you follow?,est-ce que vous suivez ?
it can't be!,c'est pas possible !
i'm a member.,je suis membre.
i'll get you.,j'irai te chercher.
he gave in.,il a cédé.
burn the body.,brûle le corps.
trust tom.,fais confiance à tom.
i know her.,je la connais.
lie still.,"restez allongée, immobile !"
don't leave!,ne pars pas !
you may go.,vous pouvez y aller.
follow tom.,suivez tom.
are you busy?,êtes-vous occupée ?
find a job.,trouve un emploi !
don't do it.,ne le faites pas !
they know us.,ils nous connaissent.
i can't swim.,je ne sais pas nager.
i got caught.,je me suis fait prendre.
i'm so tired.,je suis si fatigué.
i shouted.,j'ai crié.
who's tom?,"c’est qui, tom ?"
they won.,elles ont gagné.
you can come.,vous pouvez venir.
i was there.,j'étais là.
i nodded.,j’ai fait signe de la tête.
we're safe.,nous sommes en sécurité.
i got dumped.,j'ai été larguée.
let's see.,voyons voir !
i know them.,je les connais.
can we go?,pouvons-nous partir ?
go home now.,"allez chez vous, maintenant."
are you home?,êtes-vous chez moi ?
you're tough.,tu es dure.
remember it.,souvenez-vous-en.
i wrote it.,c'est moi qui l'ai écrit.
wait for us.,attendez-nous !
i had fun.,je me suis marrée.
i guess so.,j'imagine.
you're naive.,vous êtes naïfs.
i saw that.,j'ai vu cela.
i was warned.,j'ai été prévenue.
stay awake.,reste éveillé.
we must obey.,il nous faut obéir.
i weighed it.,je l'ai pesé.
tom's glad.,tom est heureux.
cut that out!,arrêtez ça !
is tom safe?,tom est-il à l'abri ?
set tom free.,libère tom.
it wasn't me.,ce n'était pas moi.
i feel bad.,je me sens mal.
tom obeyed.,tom a obéi.
dig faster.,creuse plus vite.
what's that?,qu'est-ce ?
come quick!,viens vite !
i'm game.,je suis de la partie.
i want these.,je veux celles-là.
i forgot.,j'ai oublié.
we loved you.,nous t'aimions.
i got the ax.,j'ai la hache.
i am at home.,je suis à la maison.
you're rude.,vous êtes grossière.
stand aside.,restez à l'écart.
go for broke!,joue le tout pour le tout !
i can swim.,je sais nager.
he can't sing.,il ne sait pas chanter.
we'll manage.,nous gèrerons.
please leave.,"pars, s'il te plaît."
look closely.,regarde attentivement.
we lost.,nous fûmes défaites.
keep quiet.,restez tranquille.
did you do it?,l'avez-vous fait ?
who are they?,qui sont-elles ?
bring wine.,apportez du vin.
i'm no hero.,je ne suis pas un héros.
i'm strict.,je suis strict.
keep that.,gardez cela.
i'm armed.,je suis armée.
tell me more.,conte-m'en davantage !
can we come?,pouvons-nous venir ?
shame on you.,honte à toi !
i like both.,les deux me plaisent.
i hurried.,je me suis dépêché.
i've no idea.,je n'en ai aucune idée.
drive on.,continue à rouler !
who is he?,qui est-ce ?
take a seat.,assieds-toi.
i rested.,je me suis reposée.
i go to work.,je me rends au travail.
that's great!,c'est grand !
i could help.,je pourrais aider.
no kidding?,vraiment ?
take my hand.,prends ma main.
i noticed.,j'ai remarqué.
i recovered.,je me suis remise.
time's up.,le temps est écoulé.
i met them.,je les rencontrai.
this is sick.,c'est dingue.
i need space.,j'ai besoin d'espace.
take a break.,faites une pause !
i was naive.,j'étais naïf.
they're cute.,elles sont mignonnes.
i'm all set.,je suis tout à fait prête.
it's hers.,c'est la sienne.
it was night.,c'était la nuit.
i made two.,j'en ai confectionné deux.
she's hot.,elle est chaude.
what was it?,qu'y avait-il ?
leave us.,laisse-nous !
i'm ok.,je vais bien.
stop that!,arrêtez !
are you sad?,es-tu triste ?
feel this.,touchez ça !
i'm deaf.,je suis sourd.
i drank milk.,je buvais du lait.
here we are!,nous y voilà !
are you hurt?,vous êtes-vous blessées ?
i swim a lot.,je nage beaucoup.
that's true.,c'est exact.
tom's gone.,tom est parti.
take mine.,prenez la mienne.
just relax.,détendez-vous.
am i hired?,suis-je engagée ?
i love rice,j'aime le riz.
am i talented?,ai-je du talent ?
let's go.,allons-y !
they lied.,elles ont menti.
ladies first.,les femmes d'abord.
i'm careful.,je suis prudente.
i can dance.,je sais danser.
i will walk.,je marcherai.
i phoned.,je téléphonai.
be merciful.,sois clément !
how's school?,"comment ça se passe, à l'école ?"
is this wine?,est-ce du vin ?
you're cruel.,tu es cruel.
come help me.,viens me donner un coup de main.
i'm ashamed.,j'ai honte.
are you sure?,êtes-vous sûr ?
duty calls.,le devoir m'appelle.
i need that.,il me faut ça.
i promise.,je le promets.
i need a bag.,il me faut un sac.
kiss me.,embrassez-moi.
i'm canadian.,je suis canadienne.
stop!,ça suffit !
ask anybody.,demandez à qui que ce soit !
can we go?,pouvons-nous y aller ?
i'm sure.,j'en suis certain.
are you sick?,es-tu malade ?
never mind!,t'inquiète pas.
stop yelling!,cessez de hurler !
is tom well?,est-ce que tom va bien ?
go to bed.,allez au lit !
tom approves.,tom est d'accord.
i'm ready!,je suis prêt !
be creative.,soyez créatifs !
i can't see.,je ne parviens pas à voir.
she cried.,elle pleurait.
tom is slow.,tom est lent.
it's a fake.,c'est une contrefaçon.
i like you.,vous me plaisez.
i believe it.,je le crois.
he is here!,il est ici !
you idiot!,espèce d'imbécile !
tom's here.,tom est ici.
be punctual.,soyez ponctuelles !
it's 3:30.,il est trois heures et demie.
i can walk.,je peux marcher.
it was hard.,c'était difficile.
try it again.,essaye encore.
please stop.,"arrêtez, s'il vous plaît."
goodbye!,à la revoyure.
stop!,arrête-toi !
i feel lost.,je me sens perdu.
it's missing.,ça fait défaut.
i tried.,j'ai essayé.
nice shot!,joli coup !
he is not in.,il n'est pas à l'intérieur.
i'm wealthy.,je suis fortunée.
i want facts.,il me faut des faits.
find the cat.,trouvez le chat.
i recovered.,je me suis remis.
i'll go in.,j'entrerai.
draw a circle.,trace un cercle !
i got fined.,j'ai pris une contravention.
i'm excited.,je suis excité.
he is old.,il est vieux.
are you blind?,es-tu aveugle ?
i feel faint.,je me sens prise de malaise.
it's genuine.,c'est la vérité.
i am lazy.,je suis fainéante.
you're good.,vous êtes bonnes.
you're old.,vous êtes vieille.
is tom safe?,tom ne risque-t-il rien ?
take care.,prenez soin de vous.
be punctual.,sois ponctuelle !
be serious.,sois sérieuse !
you're fun.,t'es marrant.
we like him.,nous l'aimons bien.
i'm through.,j'en ai terminé.
i love books.,j'adore les livres.
anybody here?,y a-t-il quelqu'un ?
i need to go.,je dois m'en aller.
stop yelling!,arrête de hurler !
i was shaken.,j'ai été remué.
i want that.,moi je veux ça.
join us.,joignez-vous.
be ruthless.,soyez impitoyable !
we're done.,nous avons terminé.
stay back.,reste en arrière !
can you swim?,sais-tu nager ?
are you alone?,es-tu seule ?
he chuckled.,il gloussa.
can we start?,pouvons-nous commencer ?
i knew it.,je le savais.
get dressed.,habillez-vous.
get a doctor.,allez chercher un médecin !
i was lonely.,j'étais esseulé.
